"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"tidyverse","tidyverse","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.3.1",NA,"R (>= 3.3)","broom (>= 0.7.6), cli (>= 2.4.0), crayon (>= 1.4.1), dbplyr
(>= 2.1.1), dplyr (>= 1.0.5), dtplyr (>= 1.1.0), forcats (>=
0.5.1), googledrive (>= 1.0.1), googlesheets4 (>= 0.3.0),
ggplot2 (>= 3.3.3), haven (>= 2.3.1), hms (>= 1.0.0), httr (>=
1.4.2), jsonlite (>= 1.7.2), lubridate (>= 1.7.10), magrittr
(>= 2.0.1), modelr (>= 0.1.8), pillar (>= 1.6.0), purrr (>=
0.3.4), readr (>= 1.4.0), readxl (>= 1.3.1), reprex (>= 2.0.0),
rlang (>= 0.4.10), rstudioapi (>= 0.13), rvest (>= 1.0.0),
stringr (>= 1.4.0), tibble (>= 3.1.0), tidyr (>= 1.1.3), xml2
(>= 1.3.2)",NA,"covr, feather, glue, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"tiff","tiff","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1-11",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"tigris","tigris","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.6",NA,"R (>= 3.3.0)","stringr, magrittr, rgdal, sp, utils, rappdirs, maptools, httr,
uuid, sf, dplyr, methods",NA,"testthat, ggplot2, ggthemes, leaflet, knitr, rgeos,
tidycensus",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"timeDate","timeDate","C:/Users/sarah.salois/Documents/r/win-library/4.0","3043.102",NA,"R (>= 2.15.1), graphics, utils, stats, methods",NA,NA,"date, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"timeSeries","timeSeries","C:/Users/sarah.salois/Documents/r/win-library/4.0","3062.100",NA,"R (>= 2.10), graphics, grDevices, stats, methods, utils,
timeDate (>= 2150.95)",NA,NA,"RUnit, robustbase, xts, PerformanceAnalytics, fTrading",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"timetk","timetk","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.8.0",NA,"R (>= 3.3.0)","recipes (>= 0.2.0), rsample, dplyr (>= 1.0.0), ggplot2,
forcats, stringr, plotly, lubridate (>= 1.6.0), padr (>=
0.5.2), purrr (>= 0.2.2), readr (>= 1.3.0), stringi (>= 1.4.6),
tibble (>= 3.0.3), tidyr (>= 1.1.0), xts (>= 0.9-7), zoo (>=
1.7-14), rlang (>= 0.4.7), tidyselect (>= 1.1.0), slider,
anytime, timeDate, forecast, tsfeatures, hms, assertthat,
generics",NA,"tidyquant, tidymodels, modeltime, workflows, parsnip, tune,
yardstick, tidyverse, knitr, rmarkdown, robets, broom, scales,
testthat, fracdiff, timeSeries, tseries, trelliscopejs,
roxygen2, covr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.5"
"tinytex","tinytex","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.38",NA,NA,"xfun (>= 0.29)",NA,"testit, rstudioapi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"tmap","tmap","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.3-3",NA,"R (>= 3.5.0), methods","tmaptools (>= 3.1), sf (>= 0.9-7), stars (>= 0.5-0), units (>=
0.6-1), grid, RColorBrewer, viridisLite, classInt (>= 0.4-3),
htmltools, htmlwidgets, widgetframe, leaflet (>= 2.0.2),
leafsync, leafem (>= 0.1), stats, abind, rlang, utils",NA,"rmapshaper, rmarkdown, knitr, png, cartogram, osmdata,
ggplot2, dplyr, tidyr, shiny, testthat, covr, av, gifski, s2",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"tmaptools","tmaptools","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.1-1",NA,"R (>= 3.5), methods","sf (>= 0.9.2), lwgeom (>= 0.1-4), stars (>= 0.4-1), units (>=
0.6-1), grid, magrittr, RColorBrewer, viridisLite, stats,
dichromat, XML",NA,"tmap (>= 3.0), rmapshaper, osmdata, OpenStreetMap, raster,
png, shiny, shinyjs",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"TMB","TMB","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.8.1",NA,"R (>= 3.0.0)","graphics, methods, stats, utils, Matrix (>= 1.0-12)","Matrix, RcppEigen","numDeriv, parallel",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"tmvnsim","tmvnsim","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0-2",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"triebeard","triebeard","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.0",NA,NA,"Rcpp","Rcpp","knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"truncnorm","truncnorm","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0-8",NA,"R (>= 3.4.0)",NA,NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"tsensembler","tsensembler","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.0",NA,NA,"xts, zoo, RcppRoll, methods, ranger, glmnet, earth, kernlab,
Cubist, gbm, pls, monmlp, doParallel, foreach, xgboost,
softImpute",NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"tseries","tseries","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.10-50",NA,"R (>= 2.10.0)","graphics, stats, utils, quadprog, zoo, quantmod (>= 0.4-9)",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"tsfeatures","tsfeatures","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.2",NA,"R (>= 3.6.0)","fracdiff, forecast (>= 8.3), purrr, RcppRoll (>= 0.2.2),
stats, tibble, tseries, urca, future, furrr",NA,"testthat, knitr, rmarkdown, ggplot2, tidyr, dplyr, Mcomp,
GGally",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"TTR","TTR","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.24.3",NA,NA,"xts (>= 0.10-0), zoo, curl","xts","RUnit","quantmod","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"ttutils","ttutils","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0-1.1",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"tune","tune","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.0",NA,"R (>= 3.4)","cli (>= 2.0.0), dials (>= 0.0.10), dplyr (>= 1.0.0), foreach,
generics (>= 0.1.2), ggplot2, glue, GPfit, hardhat (>= 0.2.0),
lifecycle (>= 1.0.0), parsnip (>= 0.2.0), purrr (>= 0.3.2),
recipes (>= 0.2.0), rlang (>= 0.4.0), rsample (>= 0.0.9),
tibble (>= 3.1.0), tidyr, vctrs (>= 0.3.0), withr, workflows
(>= 0.2.5), yardstick (>= 0.0.7)",NA,"covr, kernlab, knitr, modeldata, spelling, testthat (>=
3.0.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"tzdb","tzdb","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.0",NA,"R (>= 3.4.0)",NA,"cpp11 (>= 0.4.2)","covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"units","units","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.7-2",NA,"R (>= 3.0.2)","Rcpp","Rcpp (>= 0.12.10)","udunits2, NISTunits, measurements, xml2, magrittr, pillar (>=
1.3.0), dplyr (>= 1.0.0), vctrs (>= 0.3.1), knitr, testthat (>=
3.0.0), ggforce, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"univariateML","univariateML","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.1",NA,"R (>= 2.10)","assertthat, extraDistr, tibble, logitnorm, actuar, nakagami,
fGarch",NA,"testthat, knitr, rmarkdown, markdown, copula, dplyr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"unmarked","unmarked","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.1",NA,"R (>= 2.12.0), methods, lattice","graphics, lme4, MASS, Matrix, parallel, plyr, raster, Rcpp (>=
0.8.0), stats, TMB (>= 1.7.18), utils","Rcpp, RcppArmadillo, TMB",NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.5"
"UpSetR","UpSetR","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.4.0",NA,"R (>= 3.0)","ggplot2, gridExtra, plyr, utils, stats, methods, grDevices,
scales",NA,"knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.4"
"urca","urca","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.3-0",NA,"R (>= 2.0.0), methods","nlme, graphics, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"urlchecker","urlchecker","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.1",NA,"R (>= 3.3)","cli, curl, tools, xml2",NA,"covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"urltools","urltools","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.7.3",NA,"R (>= 2.10)","Rcpp, methods, triebeard","Rcpp","testthat, knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"useful","useful","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.6",NA,"ggplot2","plyr, dplyr (>= 0.5.0), magrittr, purrr (>= 0.1.0), stats,
scales, utils, Matrix, assertthat",NA,"testthat, tibble, covr",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"usethis","usethis","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.1.6",NA,"R (>= 3.4)","cli (>= 3.0.1), clipr (>= 0.3.0), crayon, curl (>= 2.7), desc
(>= 1.4.0), fs (>= 1.3.0), gert (>= 1.4.1), gh (>= 1.2.1), glue
(>= 1.3.0), jsonlite, lifecycle (>= 1.0.0), purrr, rappdirs,
rlang (>= 1.0.0), rprojroot (>= 1.2), rstudioapi, stats, utils,
whisker, withr (>= 2.3.0), yaml",NA,"covr, knitr, magick, mockr, pkgload, rmarkdown, roxygen2 (>=
7.1.2), spelling (>= 1.2), styler (>= 1.2.0), testthat (>=
3.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"utf8","utf8","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.1",NA,"R (>= 2.10)",NA,NA,"covr, knitr, rlang, rmarkdown, testthat (>= 3.0.0)",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"uuid","uuid","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0-4",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"vegan","vegan","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.6-2",NA,"permute (>= 0.9-0), lattice, R (>= 3.4.0)","MASS, cluster, mgcv",NA,"parallel, tcltk, knitr, markdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"vembedr","vembedr","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.5",NA,"R (>= 3.3.0)","htmltools, httr, stringr, magrittr, glue, assertthat, utils,
lifecycle",NA,"testthat, knitr, rmarkdown, covr, here, fs, conflicted,
usethis",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"VGAM","VGAM","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1-6",NA,"R (>= 3.5.0), methods, stats, stats4, splines",NA,NA,"VGAMextra, MASS, mgcv","VGAMdata","GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"viridis","viridis","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.6.2",NA,"R (>= 2.10), viridisLite (>= 0.4.0)","stats, ggplot2 (>= 1.0.1), gridExtra",NA,"hexbin (>= 1.27.0), scales, MASS, knitr, dichromat,
colorspace, raster, rasterVis, httr, mapproj, vdiffr, svglite
(>= 1.2.0), testthat, covr, rmarkdown, rgdal, maps",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"viridisLite","viridisLite","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4.0",NA,"R (>= 2.10)",NA,NA,"hexbin (>= 1.27.0), ggplot2 (>= 1.0.1), testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"virtualspecies","virtualspecies","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.5.1",NA,"raster","ade4, graphics, grDevices, methods, rworldmap, sp, stats,
utils",NA,NA,NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.0.5"
"visdat","visdat","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.5.3",NA,"R (>= 3.2.2)","ggplot2, tidyr, dplyr, purrr, readr, magrittr, stats, tibble,
glue",NA,"testthat, plotly (>= 4.5.6), knitr, rmarkdown, vdiffr,
gdtools, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.4"
"visNetwork","visNetwork","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.1.0",NA,"R (>= 3.0)","htmlwidgets, htmltools, jsonlite, magrittr, utils, methods,
grDevices, stats",NA,"knitr, rmarkdown, webshot, igraph, rpart, shiny,
shinyWidgets, colourpicker, sparkline, ggraph, tidygraph,
flashClust",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"vroom","vroom","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.5.7",NA,"R (>= 3.1)","bit64, crayon, cli, glue, hms, lifecycle, methods, rlang (>=
0.4.2), stats, tibble (>= 2.0.0), tzdb (>= 0.1.1), vctrs (>=
0.2.0), tidyselect, withr","progress (>= 1.2.1), cpp11 (>= 0.2.0), tzdb (>= 0.1.1)","archive, bench (>= 1.1.0), covr, curl, dplyr, forcats, fs,
ggplot2, knitr, patchwork, prettyunits, purrr, rmarkdown,
rstudioapi, scales, spelling, testthat (>= 2.1.0), tidyr,
utils, waldo, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"waldo","waldo","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4.0",NA,NA,"cli, diffobj (>= 0.3.4), fansi, glue, methods, rematch2, rlang
(>= 1.0.0), tibble",NA,"covr, R6, testthat (>= 3.0.0), withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"warp","warp","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.0",NA,"R (>= 3.2)",NA,NA,"covr, testthat (>= 2.1.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"webshot","webshot","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.5.3",NA,"R (>= 3.0)","magrittr, jsonlite, callr",NA,"httpuv, knitr, rmarkdown, shiny",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"wesanderson","wesanderson","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.6",NA,"R (>= 3.0)",NA,NA,"ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"whisker","whisker","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4",NA,NA,NA,NA,"markdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"widgetframe","widgetframe","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.1",NA,"R (>= 3.1.0), htmlwidgets,","htmltools, purrr, magrittr, utils, tools",NA,"knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"WikidataQueryServiceR","WikidataQueryServiceR","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.0",NA,"R (>= 3.1.2)","httr (>= 1.2.1), dplyr (>= 1.0.0), jsonlite (>= 1.2),
WikipediR (>= 1.5.0), ratelimitr (>= 0.4.1), purrr (>= 0.3.4),
readr (>= 1.3.1), rex (>= 1.2.0)",NA,"testthat (>= 2.3.0), lintr (>= 2.0.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"WikidataR","WikidataR","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.3.3",NA,"R (>= 3.5.0)","httr, jsonlite, WikipediR, WikidataQueryServiceR, tibble,
dplyr, stringr, Hmisc, progress, pbapply, stats, readr, crayon,
utils",NA,"markdown, testthat, tidyverse, knitr, pageviews",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"WikipediR","WikipediR","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.5.0",NA,NA,"httr, jsonlite",NA,"testthat, knitr, WikidataR, pageviews",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"wikitaxa","wikitaxa","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4.0",NA,"R(>= 3.2.1)","WikidataR, data.table, curl, crul (>= 0.3.4), tibble,
jsonlite, xml2",NA,"testthat, knitr, rmarkdown, vcr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"withr","withr","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.5.0",NA,"R (>= 3.2.0)","graphics, grDevices, stats",NA,"callr, covr, DBI, knitr, lattice, methods, rlang, rmarkdown
(>= 2.12), RSQLite, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"wk","wk","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.6.0",NA,NA,NA,NA,"testthat (>= 3.0.0), vctrs (>= 0.3.0), sf, tibble, readr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"workflows","workflows","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.6",NA,"R (>= 3.2)","cli (>= 2.0.0), generics (>= 0.1.2), glue, hardhat (>= 0.2.0),
lifecycle (>= 1.0.0), parsnip (>= 0.2.0), rlang (>= 1.0.1),
tidyselect (>= 1.1.2), vctrs (>= 0.3.8)",NA,"butcher (>= 0.1.3), covr, dials (>= 0.1.0), knitr, magrittr,
modeldata (>= 0.0.2), recipes (>= 0.2.0), rmarkdown, testthat
(>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"workflowsets","workflowsets","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.1",NA,"R (>= 3.4)","cli, dplyr (>= 1.0.0), generics, ggplot2, hardhat (>= 0.1.6),
lifecycle (>= 1.0.0), prettyunits, purrr, rlang, rsample (>=
0.0.9), stats, tibble (>= 3.1.0), tidyr, tune (>= 0.1.3),
vctrs, withr, workflows (>= 0.2.4)",NA,"covr, dials, kknn, knitr, modeldata, parsnip (>= 0.2.0),
recipes (>= 0.1.15), rmarkdown, spelling, testthat (>= 3.0.0),
yardstick",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"worrms","worrms","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4.2",NA,NA,"crul (>= 0.6.0), tibble (>= 1.2), jsonlite (>= 1.1),
data.table",NA,"roxygen2 (>= 7.1.0), knitr, rmarkdown, testthat, vcr (>=
0.2.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"WRAP","WRAP","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.5",NA,"R (>= 3.5.0), ggplot2 (>= 3.3.0), virtualspecies, stats, utils","dplyr, scales, raster, glmmfields, dismo, gbm, mgcv, viridis,
BBmisc, neuralnet, here, stringr, Rdpack, reshape2, rlang",NA,"knitr, rmarkdown, gridExtra, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"xaringan","xaringan","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.23",NA,NA,"htmltools, knitr (>= 1.30), servr (>= 0.13), xfun (>= 0.18),
rmarkdown (>= 2.8)",NA,"rstudioapi, testit",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"xgboost","xgboost","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.6.0.1",NA,"R (>= 3.3.0)","Matrix (>= 1.1-0), methods, data.table (>= 1.9.6), jsonlite
(>= 1.0),",NA,"knitr, rmarkdown, ggplot2 (>= 1.0.1), DiagrammeR (>= 0.9.0),
Ckmeans.1d.dp (>= 3.3.1), vcd (>= 1.3), testthat, lintr, igraph
(>= 1.0.1), float, crayon, titanic",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"XML","XML","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.99-0.9",NA,"R (>= 4.0.0), methods, utils",NA,NA,"bitops, RCurl",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"xml2","xml2","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.3.3",NA,"R (>= 3.1.0)","methods",NA,"covr, curl, httr, knitr, magrittr, mockery, rmarkdown,
testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"xopen","xopen","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.0",NA,"R (>= 3.1)","processx",NA,"ps, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"xtable","xtable","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.8-4",NA,"R (>= 2.10.0)","stats, utils",NA,"knitr, plm, zoo, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"xts","xts","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.12.1",NA,"zoo (>= 1.7-12)","methods","zoo","timeSeries, timeDate, tseries, chron, fts, tis, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"yaml","yaml","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.2.1",NA,NA,NA,NA,"RUnit",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"yardstick","yardstick","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.0.9",NA,"R (>= 2.10)","dplyr (>= 1.0.0), generics, pROC (>= 1.15.0), rlang (>=
0.4.2), tidyselect, utils, vctrs (>= 0.3.6)",NA,"covr, crayon, ggplot2, knitr, probably (>= 0.0.6), purrr,
rmarkdown, testthat (>= 3.0.0), tidyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"zeallot","zeallot","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.0",NA,NA,NA,NA,"testthat, knitr, rmarkdown, purrr, magrittr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"zebu","zebu","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.0.0",NA,"R (>= 2.10)","ggplot2, data.table, reshape2, utils, Rcpp","Rcpp","knitr, rmarkdown, markdown, devtools, usethis, svs, pbapply,
testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"zip","zip","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.2.0",NA,NA,NA,NA,"covr, processx, R6, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"zoo","zoo","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.8-10",NA,"R (>= 3.1.0), stats","utils, graphics, grDevices, lattice (>= 0.20-27)",NA,"AER, coda, chron, fts, ggplot2 (>= 3.0.0), mondate, scales,
stinepack, strucchange, timeDate, timeSeries, tis, tseries, xts",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"arcgisbinding","arcgisbinding","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","1.0.1.232",NA,"R (>= 3.3.2)","methods",NA,"sp,
sf,
raster,
rgdal,
dplyr",NA,"file LICENSE",NA,NA,"windows",NA,"no","3.5.0"
"base","base","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","4.0.5","base",NA,NA,NA,"methods",NA,"Part of R 4.0.5",NA,NA,NA,NA,NA,"4.0.5"
"bayestestR","bayestestR","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","0.12.1",NA,"R (>= 3.4)","insight (>= 0.17.0), datawizard (>= 0.4.0), graphics, methods,
stats, utils",NA,"BayesFactor, bayesQR, blavaan, bridgesampling, brms, dplyr,
effectsize, emmeans, gamm4, GGally, ggdist, ggplot2, ggridges,
glmmTMB, httr, KernSmooth, knitr, lavaan, lme4, logspline,
MASS, mclust, mediation, modelbased, parameters, patchwork,
performance, poorman, quadprog, posterior, rmarkdown, rstan,
rstanarm, see, spelling, stringr, testthat, tidyr, tweedie",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"bestglm","bestglm","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","0.37.3",NA,"R (>= 3.1.0), leaps","lattice, glmnet, grpreg, pls",NA,"MASS","caret","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"boot.1","boot","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","1.3-28","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.0.5"
"Boruta.1","Boruta","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","7.0.0",NA,NA,"ranger",NA,"mlbench, rFerns, randomForest, testthat, xgboost, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"broom.helpers","broom.helpers","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","1.8.0",NA,"R (>= 3.4)","broom, cli, dplyr, labelled, lifecycle, purrr, rlang (>=
1.0.1), stats, stringr, tibble, tidyr",NA,"biglm, biglmm, brms (>= 2.13.0), broom.mixed, cmprsk, covr,
datasets, emmeans, fixest (>= 0.10.0), forcats, gam, gee,
geepack, ggplot2, glmmTMB, glue, gt, gtsummary, knitr, lavaan,
lfe, lme4 (>= 1.1.28), MASS, mgcv, mice, nnet, ordinal,
parameters, parsnip, plm, rmarkdown, rstanarm, spelling,
survey, survival, testthat, tidycmprsk, VGAM",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"caTools","caTools","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","1.18.2",NA,"R (>= 3.6.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"class.1","class","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","7.3-20","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"cli.1","cli","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","3.2.0",NA,"R (>= 2.10)","glue (>= 1.6.0), utils",NA,"asciicast, callr, covr, digest, grDevices, htmltools,
htmlwidgets, knitr, methods, mockery, processx, ps (>=
1.3.4.9000), rlang, rmarkdown, rstudioapi, shiny, testthat,
tibble, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"cluster.1","cluster","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","2.1.3","recommended","R (>= 3.5.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
